Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","68","France","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","38614","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5611","Importations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","2055","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5072","Variation de stock","2511","Blé","2013","2013","Milliers de tonnes","1131","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5911","Exportations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","21502","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","20298","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5521","Aliments pour animaux","2511","Blé","2013","2013","Milliers de tonnes","7822","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5527","Semences","2511","Blé","2013","2013","Milliers de tonnes","748","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5123","Pertes","2511","Blé","2013","2013","Milliers de tonnes","358","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5131","Traitement","2511","Blé","2013","2013","Milliers de tonnes","1575","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5154","Autres Utilisations","2511","Blé","2013","2013","Milliers de tonnes","2824","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","6971","S","Données standardisées"
"FBS","Bilans Alimentaires","68","France","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","108.43","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","68","France","664","Disponibilité alimentaire (Kcal/personne/jour)","2511","Blé","2013","2013","Kcal/personne/jour","811","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","68","France","674","Disponibilité de protéines en quantité (g/personne/jour)","2511","Blé","2013","2013","g/personne/jour","25.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","68","France","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2511","Blé","2013","2013","g/personne/jour","4.2","Fc","Donnée calculée"
